Station Name,Station Latitude,Station Longitude
Downey - Co Maint Bldg,33.9240,-118.1670
El Monte - Fairview Av,34.0930,-118.0190
Featherly Park - Maint,33.8690,-117.7090
Fountain Valley - Euclid,33.7190,-117.9370
Garvey Res. - Control Bldg,34.0490,-118.1120
Glendale - Las Palmas,34.2000,-118.2310
Glendora - N Oakbank,34.1370,-117.8830
Hacienda Heights - Colima,33.9900,-117.9430
Hemet Fire Station,33.7290,-116.9790
Huntington Beach - Lake St,33.6620,-117.9970
Inglewood - Union Oil,33.9050,-118.2790
LA - 116th St School,33.9290,-118.2600
LA - Baldwin Hills,34.0090,-118.3610
LA - Centinela St,34.0010,-118.4310
LA - Century City CC North,34.0630,-118.4180
LA - Century City CC South,34.0620,-118.4160
LA - Chalon Rd,34.0860,-118.4810
LA - Cypress Ave,34.0880,-118.2220
LA - E Vernon Ave,34.0040,-118.2300
LA - Fletcher Dr,34.1150,-118.2440
LA - Hollywood Stor FF,34.0900,-118.3390
LA - N Faring Rd,34.0890,-118.4350
